333 - 12.612613% | Entry #1
1045 - 4.019139% | Entries #8673123-8687699
1046 - 4.0152965% | Entries #8687700-8702061
1047 - 4.0114613% | Entries #8702062-8716318
1048 - 4.007633% | Entries #8716319-8730484
1049 - 4.0038133% | Entries #8730485-8744421
1050 - 4% | Entries #8744422-8758106
1051 - 3.9961941% | Entries #8758107-8771617
1052 - 3.9923954% | Entries #8771618-8785119
1053 - 3.9886038% | Entries #8785120-8798500
1054 - 3.9848197% | Entries #8798501-8811734
1055 - 3.9810426% | Entries #8811735-8824947
1056 - 3.9772727% | Entries #8824948-8837867
1057 - 3.97351% | Entries #8837868-8850902
1058 - 3.9697542% | Entries #8850903-8863848
1059 - 3.9660056% | Entries #8863849-8876542
1060 - 3.9622643% | Entries #8876543-8889347
1061 - 3.9585297% | Entries #8889348-8902056
1062 - 3.954802% | Entries #8902057-8914458
1063 - 3.951082% | Entries #8914459-8926828
1064 - 3.9473681% | Entries #8926829-8938810
1065 - 3.943662% | Entries #8938811-8950794
1066 - 3.9399624% | Entries #8950795-8962769
1067 - 3.9362698% | Entries #8962770-8974691
1068 - 3.9325845% | Entries #8974692-8986227
1069 - 3.9289052% | Entries #8986228-8997806
1070 - 3.9252336% | Entries #8997807-9009312
1071 - 3.9215689% | Entries #9009313-9020836
1072 - 3.9179106% | Entries #9020837-9032252
1073 - 3.914259% | Entries #9032253-9043555
1074 - 3.9106145% | Entries #9043556-9054622
1075 - 3.9069767% | Entries #9054623-9065727
1076 - 3.9033458% | Entries #9065728-9076759
1077 - 3.8997214% | Entries #9076760-9087518
1078 - 3.8961039% | Entries #9087519-9098279
1079 - 3.8924928% | Entries #9098280-9108911
1080 - 3.888889% | Entries #9108912-9119563
1081 - 3.8852916% | Entries #9119564-9129992
1082 - 3.8817008% | Entries #9129993-9140431
1083 - 3.8781161% | Entries #9140432-9150744
1084 - 3.874539% | Entries #9150745-9160941
1085 - 3.8709679% | Entries #9160942-9170927
1086 - 3.8674035% | Entries #9170928-9180833
1087 - 3.8638453% | Entries #9180834-9190654
1088 - 3.860294% | Entries #9190655-9200282
1089 - 3.8567495% | Entries #9200283-9209913
1090 - 3.8532112% | Entries #9209914-9219476
1091 - 3.8496792% | Entries #9219477-9228920
1092 - 3.846154% | Entries #9228921-9238407
1093 - 3.8426352% | Entries #9238408-9247825
1094 - 3.8391225% | Entries #9247826-9257078
1095 - 3.8356164% | Entries #9257079-9266245
1096 - 3.8321166% | Entries #9266246-9274976
1097 - 3.8286235% | Entries #9274977-9283871
1098 - 3.8251367% | Entries #9283872-9292689
1099 - 3.8216562% | Entries #9292690-9301457
1100 - 3.818182% | Entries #9301458-9310225
1101 - 3.814714% | Entries #9310226-9318828
1102 - 3.811252% | Entries #9318829-9327316
1103 - 3.807797% | Entries #9327317-9335791
1104 - 3.8043478% | Entries #9335792-9344046
1105 - 3.8009052% | Entries #9344047-9352266
1106 - 3.7974682% | Entries #9352267-9360336
1107 - 3.7940378% | Entries #9360337-9368509
1108 - 3.7906137% | Entries #9368510-9376374
1109 - 3.7871957% | Entries #9376375-9384302
1110 - 3.7837837% | Entries #9384303-9392069
1111 - 3.780378% | Entries #9392070-9399681
1112 - 3.7769783% | Entries #9399682-9407501
1113 - 3.7735848% | Entries #9407502-9415158
1114 - 3.7701976% | Entries #9415159-9422791
1115 - 3.7668161% | Entries #9422792-9430174
1116 - 3.763441% | Entries #9430175-9437460
1117 - 3.7600715% | Entries #9437461-9444772
1118 - 3.7567084% | Entries #9444773-9451913
1119 - 3.753351% | Entries #9451914-9459048
1120 - 3.7500002% | Entries #9459049-9466115
1121 - 3.7466547% | Entries #9466116-9473087
1122 - 3.7433155% | Entries #9473088-9480073
1123 - 3.7399821% | Entries #9480074-9486969
1124 - 3.7366548% | Entries #9486970-9493716
1125 - 3.733333% | Entries #9493717-9500335
1126 - 3.7300177% | Entries #9500336-9506881
1127 - 3.7267082% | Entries #9506882-9513231
1128 - 3.7234042% | Entries #9513232-9519602
1129 - 3.7201061% | Entries #9519603-9526078
1130 - 3.716814% | Entries #9526079-9532443
1131 - 3.7135277% | Entries #9532444-9538803
1132 - 3.7102473% | Entries #9538804-9544935
1133 - 3.7069726% | Entries #9544936-9551008
1134 - 3.7037036% | Entries #9551009-9557015
1135 - 3.7004404% | Entries #9557016-9563166
1136 - 3.697183% | Entries #9563167-9568944
1137 - 3.6939316% | Entries #9568945-9574839
1138 - 3.6906853% | Entries #9574840-9580624
1139 - 3.6874452% | Entries #9580625-9586204
1140 - 3.6842103% | Entries #9586205-9591814
1141 - 3.6809816% | Entries #9591815-9597314
1142 - 3.6777582% | Entries #9597315-9602771
1143 - 3.6745408% | Entries #9602772-9608175
1144 - 3.6713288% | Entries #9608176-9613651
1145 - 3.6681223% | Entries #9613652-9619009
1146 - 3.6649215% | Entries #9619010-9624170
1147 - 3.6617265% | Entries #9624171-9629240
1148 - 3.6585364% | Entries #9629241-9634370
1149 - 3.6553524% | Entries #9634371-9639446
1150 - 3.652174% | Entries #9639447-9644382
1151 - 3.649001% | Entries #9644383-9649254
1152 - 3.6458333% | Entries #9649255-9654102
1153 - 3.642671% | Entries #9654103-9658878
1154 - 3.6395147% | Entries #9658879-9663656
1155 - 3.6363635% | Entries #9663657-9668390
1156 - 3.6332178% | Entries #9668391-9673029
1157 - 3.6300778% | Entries #9673030-9677594
1158 - 3.626943% | Entries #9677595-9682148
1159 - 3.6238139% | Entries #9682149-9686500
1160 - 3.6206896% | Entries #9686501-9690806
1161 - 3.6175709% | Entries #9690807-9695116
1162 - 3.6144576% | Entries #9695117-9699338
1163 - 3.61135% | Entries #9699339-9703622
1164 - 3.6082473% | Entries #9703623-9707924
1165 - 3.60515% | Entries #9707925-9712062
1166 - 3.6020584% | Entries #9712063-9716115
1167 - 3.5989716% | Entries #9716116-9720263
1168 - 3.5958905% | Entries #9720264-9724307
1169 - 3.5928144% | Entries #9724308-9728124
1170 - 3.5897439% | Entries #9728125-9732059
1171 - 3.5866783% | Entries #9732060-9735893
1172 - 3.583618% | Entries #9735894-9739651
1173 - 3.5805628% | Entries #9739652-9743403
1174 - 3.577513% | Entries #9743404-9747045
1175 - 3.5744681% | Entries #9747046-9750636
1176 - 3.5714288% | Entries #9750637-9754345
1177 - 3.5683942% | Entries #9754346-9757865
1178 - 3.565365% | Entries #9757866-9761287
1179 - 3.562341% | Entries #9761288-9764871
1180 - 3.5593219% | Entries #9764872-9768282
1181 - 3.5563083% | Entries #9768283-9771613
1182 - 3.5532997% | Entries #9771614-9774857
1183 - 3.5502958% | Entries #9774858-9778152
1184 - 3.5472975% | Entries #9778153-9781380
1185 - 3.544304% | Entries #9781381-9784503
1186 - 3.5413153% | Entries #9784504-9787667
1187 - 3.5383317% | Entries #9787668-9790784
1188 - 3.5353534% | Entries #9790785-9793858
1189 - 3.5323803% | Entries #9793859-9796933
1190 - 3.529412% | Entries #9796934-9799970
1191 - 3.5264485% | Entries #9799971-9802954
1192 - 3.52349% | Entries #9802955-9805908
1193 - 3.5205364% | Entries #9805909-9808846
1194 - 3.517588% | Entries #9808847-9811701
1195 - 3.5146446% | Entries #9811702-9814467
1196 - 3.5117056% | Entries #9814468-9817247
1197 - 3.508772% | Entries #9817248-9820042
1198 - 3.5058432% | Entries #9820043-9822775
1199 - 3.5029192% | Entries #9822776-9825532
1200 - 3.5% | Entries #9825533-9828114
1201 - 3.4970858% | Entries #9828115-9830774
1202 - 3.4941764% | Entries #9830775-9833293
1203 - 3.4912717% | Entries #9833294-9835822
1204 - 3.4883723% | Entries #9835823-9838412
1205 - 3.4854774% | Entries #9838413-9840794
1206 - 3.4825869% | Entries #9840795-9843182
1207 - 3.4797018% | Entries #9843183-9845589
1208 - 3.4768212% | Entries #9845590-9847923
1209 - 3.4739454% | Entries #9847924-9850258
1210 - 3.4710743% | Entries #9850259-9852549
1211 - 3.468208% | Entries #9852550-9854790
1212 - 3.4653466% | Entries #9854791-9856929
1213 - 3.4624896% | Entries #9856930-9859138
1214 - 3.4596376% | Entries #9859139-9861284
1215 - 3.45679% | Entries #9861285-9863442
1216 - 3.4539473% | Entries #9863443-9865546
1217 - 3.4511094% | Entries #9865547-9867665
1218 - 3.4482758% | Entries #9867666-9869748
1219 - 3.4454472% | Entries #9869749-9871693
1220 - 3.4426231% | Entries #9871694-9873656
1221 - 3.4398034% | Entries #9873657-9875597
1222 - 3.4369886% | Entries #9875598-9877539
1223 - 3.4341784% | Entries #9877540-9879514
1224 - 3.4313726% | Entries #9879515-9881412
1225 - 3.4285712% | Entries #9881413-9883258
1226 - 3.4257748% | Entries #9883259-9885065
1227 - 3.422983% | Entries #9885066-9886882
1228 - 3.4201953% | Entries #9886883-9888698
1229 - 3.4174125% | Entries #9888699-9890395
1230 - 3.4146342% | Entries #9890396-9892201
1231 - 3.4118605% | Entries #9892202-9893966
1232 - 3.409091% | Entries #9893967-9895685
1233 - 3.406326% | Entries #9895686-9897357
1234 - 3.4035656% | Entries #9897358-9899034
1235 - 3.4008098% | Entries #9899035-9900618
1236 - 3.3980582% | Entries #9900619-9902214
1237 - 3.395311% | Entries #9902215-9903761
1238 - 3.3925686% | Entries #9903762-9905283
1239 - 3.3898306% | Entries #9905284-9906835
1240 - 3.387097% | Entries #9906836-9908282
1241 - 3.3843675% | Entries #9908283-9909721
1242 - 3.3816423% | Entries #9909722-9911196
1243 - 3.3789222% | Entries #9911197-9912661
1244 - 3.3762057% | Entries #9912662-9914108
1245 - 3.373494% | Entries #9914109-9915443
1246 - 3.3707864% | Entries #9915444-9916839
1247 - 3.3680835% | Entries #9916840-9918200
1248 - 3.3653848% | Entries #9918201-9919574
1249 - 3.3626902% | Entries #9919575-9920799
1250 - 3.36% | Entries #9920800-9922101
1251 - 3.3573143% | Entries #9922102-9923386
1252 - 3.3546324% | Entries #9923387-9924615
1253 - 3.3519554% | Entries #9924616-9925807
1254 - 3.3492823% | Entries #9925808-9927038
1255 - 3.3466134% | Entries #9927039-9928193
1256 - 3.343949% | Entries #9928194-9929375
1257 - 3.3412888% | Entries #9929376-9930571
1258 - 3.3386328% | Entries #9930572-9931653
1259 - 3.3359811% | Entries #9931654-9932743
1260 - 3.3333335% | Entries #9932744-9933891
1261 - 3.3306901% | Entries #9933892-9934970
1262 - 3.3280506% | Entries #9934971-9936082
1263 - 3.3254158% | Entries #9936083-9937118
1264 - 3.322785% | Entries #9937119-9938119
1265 - 3.3201582% | Entries #9938120-9939105
1266 - 3.3175356% | Entries #9939106-9940098
1267 - 3.314917% | Entries #9940099-9941107
1268 - 3.3123028% | Entries #9941108-9942095
1269 - 3.3096929% | Entries #9942096-9943074
1270 - 3.3070867% | Entries #9943075-9944034
1271 - 3.3044844% | Entries #9944035-9945021
1272 - 3.3018868% | Entries #9945022-9945945
1273 - 3.299293% | Entries #9945946-9946841
1274 - 3.2967036% | Entries #9946842-9947745
1275 - 3.2941177% | Entries #9947746-9948620
1276 - 3.291536% | Entries #9948621-9949462
1277 - 3.2889585% | Entries #9949463-9950336
1278 - 3.2863848% | Entries #9950337-9951200
1279 - 3.2838154% | Entries #9951201-9952009
1280 - 3.2812498% | Entries #9952010-9952804
1281 - 3.2786884% | Entries #9952805-9953529
1282 - 3.276131% | Entries #9953530-9954302
1283 - 3.2735777% | Entries #9954303-9955099
1284 - 3.271028% | Entries #9955100-9955891
1285 - 3.2684824% | Entries #9955892-9956628
1286 - 3.2659407% | Entries #9956629-9957425
1287 - 3.2634032% | Entries #9957426-9958146
1288 - 3.2608695% | Entries #9958147-9958897
1289 - 3.2583396% | Entries #9958898-9959581
1290 - 3.2558138% | Entries #9959582-9960289
1291 - 3.2532918% | Entries #9960290-9960980
1292 - 3.250774% | Entries #9960981-9961714
1293 - 3.2482598% | Entries #9961715-9962378
1294 - 3.2457497% | Entries #9962379-9963019
1295 - 3.2432432% | Entries #9963020-9963652
1296 - 3.2407408% | Entries #9963653-9964305
1297 - 3.2382421% | Entries #9964306-9964949
1298 - 3.2357473% | Entries #9964950-9965576
1299 - 3.233256% | Entries #9965577-9966144
1300 - 3.2307692% | Entries #9966145-9966777
1301 - 3.2282858% | Entries #9966778-9967369
1302 - 3.2258062% | Entries #9967370-9967958
1303 - 3.223331% | Entries #9967959-9968511
1304 - 3.2208588% | Entries #9968512-9969100
1305 - 3.2183907% | Entries #9969101-9969594
1306 - 3.2159264% | Entries #9969595-9970149
1307 - 3.213466% | Entries #9970150-9970678
1308 - 3.211009% | Entries #9970679-9971196
1309 - 3.208556% | Entries #9971197-9971747
1310 - 3.2061071% | Entries #9971748-9972249
1311 - 3.2036614% | Entries #9972250-9972735
1312 - 3.2012196% | Entries #9972736-9973197
1313 - 3.1987813% | Entries #9973198-9973647
1314 - 3.1963472% | Entries #9973648-9974132
1315 - 3.1939163% | Entries #9974133-9974573
1316 - 3.1914895% | Entries #9974574-9975000
1317 - 3.189066% | Entries #9975001-9975466
1318 - 3.1866465% | Entries #9975467-9975910
1319 - 3.1842306% | Entries #9975911-9976325
1320 - 3.181818% | Entries #9976326-9976730
1321 - 3.1794093% | Entries #9976731-9977156
1322 - 3.1770046% | Entries #9977157-9977552
1323 - 3.1746035% | Entries #9977553-9977956
1324 - 3.1722054% | Entries #9977957-9978377
1325 - 3.1698112% | Entries #9978378-9978744
1326 - 3.167421% | Entries #9978745-9979158
1327 - 3.1650338% | Entries #9979159-9979539
1328 - 3.1626508% | Entries #9979540-9979874
1329 - 3.1602712% | Entries #9979875-9980243
1330 - 3.1578946% | Entries #9980244-9980616
1331 - 3.155522% | Entries #9980617-9980968
1332 - 3.1531532% | Entries #9980969-9981272
1333 - 3.1507876% | Entries #9981273-9981613
1334 - 3.1484258% | Entries #9981614-9981974
1335 - 3.1460671% | Entries #9981975-9982296
1336 - 3.1437125% | Entries #9982297-9982620
1337 - 3.141361% | Entries #9982621-9982961
1338 - 3.1390135% | Entries #9982962-9983231
1339 - 3.1366692% | Entries #9983232-9983538
1340 - 3.1343286% | Entries #9983539-9983829
1341 - 3.131991% | Entries #9983830-9984109
1342 - 3.1296573% | Entries #9984110-9984400
1343 - 3.1273267% | Entries #9984401-9984693
1344 - 3.125% | Entries #9984694-9984986
1345 - 3.1226766% | Entries #9984987-9985281
1346 - 3.1203566% | Entries #9985282-9985552
1347 - 3.11804% | Entries #9985553-9985814
1348 - 3.115727% | Entries #9985815-9986118
1349 - 3.1134174% | Entries #9986119-9986360
1350 - 3.1111112% | Entries #9986361-9986620
1351 - 3.1088083% | Entries #9986621-9986882
1352 - 3.106509% | Entries #9986883-9987115
1353 - 3.1042128% | Entries #9987116-9987363
1354 - 3.1019201% | Entries #9987364-9987590
1355 - 3.099631% | Entries #9987591-9987814
1356 - 3.097345% | Entries #9987815-9988050
1357 - 3.0950627% | Entries #9988051-9988301
1358 - 3.0927835% | Entries #9988302-9988520
1359 - 3.0905077% | Entries #9988521-9988721
1360 - 3.0882354% | Entries #9988722-9988920
1361 - 3.085966% | Entries #9988921-9989121
1362 - 3.0837004% | Entries #9989122-9989335
1363 - 3.081438% | Entries #9989336-9989533
1364 - 3.0791788% | Entries #9989534-9989715
1365 - 3.0769231% | Entries #9989716-9989904
1366 - 3.0746706% | Entries #9989905-9990087
1367 - 3.0724216% | Entries #9990088-9990246
1368 - 3.0701754% | Entries #9990247-9990435
1369 - 3.0679328% | Entries #9990436-9990610
1370 - 3.0656934% | Entries #9990611-9990799
1371 - 3.0634573% | Entries #9990800-9990970
1372 - 3.0612245% | Entries #9990971-9991130
1373 - 3.058995% | Entries #9991131-9991286
1374 - 3.0567684% | Entries #9991287-9991458
1375 - 3.0545454% | Entries #9991459-9991627
1376 - 3.0523255% | Entries #9991628-9991793
1377 - 3.050109% | Entries #9991794-9991971
1378 - 3.0478954% | Entries #9991972-9992122
1379 - 3.0456853% | Entries #9992123-9992272
1380 - 3.0434783% | Entries #9992273-9992431
1381 - 3.0412745% | Entries #9992432-9992581
1382 - 3.0390737% | Entries #9992582-9992722
1383 - 3.0368764% | Entries #9992723-9992865
1384 - 3.034682% | Entries #9992866-9993012
1385 - 3.032491% | Entries #9993013-9993137
1386 - 3.030303% | Entries #9993138-9993257
1387 - 3.0281181% | Entries #9993258-9993379
1388 - 3.0259366% | Entries #9993380-9993514
1389 - 3.0237582% | Entries #9993515-9993636
1390 - 3.0215828% | Entries #9993637-9993756
1391 - 3.0194106% | Entries #9993757-9993894
1392 - 3.0172412% | Entries #9993895-9994013
1393 - 3.0150754% | Entries #9994014-9994139
1394 - 3.0129125% | Entries #9994140-9994245
1395 - 3.0107527% | Entries #9994246-9994358
1396 - 3.008596% | Entries #9994359-9994492
1397 - 3.0064425% | Entries #9994493-9994611
1398 - 3.0042918% | Entries #9994612-9994725
1399 - 3.0021443% | Entries #9994726-9994833
1400 - 3% | Entries #9994834-9994932
1401 - 2.9978585% | Entries #9994933-9995030
1402 - 2.9957204% | Entries #9995031-9995141
1403 - 2.993585% | Entries #9995142-9995250
1404 - 2.991453% | Entries #9995251-9995337
1405 - 2.9893239% | Entries #9995338-9995422
1406 - 2.9871979% | Entries #9995423-9995514
1407 - 2.9850745% | Entries #9995515-9995598
1408 - 2.9829545% | Entries #9995599-9995685
1409 - 2.9808373% | Entries #9995686-9995786
1410 - 2.9787235% | Entries #9995787-9995881
1411 - 2.9766123% | Entries #9995882-9995951
1412 - 2.9745042% | Entries #9995952-9996040
1413 - 2.972399% | Entries #9996041-9996116
1414 - 2.970297% | Entries #9996117-9996197
1415 - 2.9681978% | Entries #9996198-9996275
1416 - 2.9661016% | Entries #9996276-9996355
1417 - 2.9640083% | Entries #9996356-9996434
1418 - 2.961918% | Entries #9996435-9996513
1419 - 2.9598308% | Entries #9996514-9996567
1420 - 2.9577465% | Entries #9996568-9996641
1421 - 2.955665% | Entries #9996642-9996703
1422 - 2.9535866% | Entries #9996704-9996770
1423 - 2.951511% | Entries #9996771-9996825
1424 - 2.9494383% | Entries #9996826-9996886
1425 - 2.9473684% | Entries #9996887-9996950
1426 - 2.9453015% | Entries #9996951-9997009
1427 - 2.9432375% | Entries #9997010-9997077
1428 - 2.9411764% | Entries #9997078-9997141
1429 - 2.9391181% | Entries #9997142-9997194
1430 - 2.937063% | Entries #9997195-9997248
1431 - 2.9350107% | Entries #9997249-9997304
1432 - 2.932961% | Entries #9997305-9997372
1433 - 2.9309142% | Entries #9997373-9997428
1434 - 2.9288704% | Entries #9997429-9997481
1435 - 2.9268293% | Entries #9997482-9997524
1436 - 2.924791% | Entries #9997525-9997569
1437 - 2.9227557% | Entries #9997570-9997633
1438 - 2.9207232% | Entries #9997634-9997682
1439 - 2.9186935% | Entries #9997683-9997732
1440 - 2.9166667% | Entries #9997733-9997777
1441 - 2.9146426% | Entries #9997778-9997820
1442 - 2.9126215% | Entries #9997821-9997859
1443 - 2.9106028% | Entries #9997860-9997908
1444 - 2.9085872% | Entries #9997909-9997970
1445 - 2.9065742% | Entries #9997971-9998007
1446 - 2.9045644% | Entries #9998008-9998055
1447 - 2.902557% | Entries #9998056-9998094
1448 - 2.9005525% | Entries #9998095-9998135
1449 - 2.8985507% | Entries #9998136-9998171
1450 - 2.8965518% | Entries #9998172-9998203
1451 - 2.8945553% | Entries #9998204-9998245
1452 - 2.892562% | Entries #9998246-9998276
1453 - 2.890571% | Entries #9998277-9998310
1454 - 2.8885832% | Entries #9998311-9998347
1455 - 2.886598% | Entries #9998348-9998377
1456 - 2.8846154% | Entries #9998378-9998410
1457 - 2.8826356% | Entries #9998411-9998437
1458 - 2.8806584% | Entries #9998438-9998464
1459 - 2.878684% | Entries #9998465-9998500
1460 - 2.8767123% | Entries #9998501-9998524
1461 - 2.8747435% | Entries #9998525-9998556
1462 - 2.872777% | Entries #9998557-9998589
1463 - 2.8708134% | Entries #9998590-9998615
1464 - 2.8688524% | Entries #9998616-9998647
1465 - 2.8668942% | Entries #9998648-9998681
1466 - 2.8649385% | Entries #9998682-9998711
1467 - 2.8629856% | Entries #9998712-9998735
1468 - 2.8610353% | Entries #9998736-9998757
1469 - 2.859088% | Entries #9998758-9998786
1470 - 2.857143% | Entries #9998787-9998806
1471 - 2.8552005% | Entries #9998807-9998833
1472 - 2.853261% | Entries #9998834-9998853
1473 - 2.8513238% | Entries #9998854-9998872
1474 - 2.8493893% | Entries #9998873-9998891
1475 - 2.8474576% | Entries #9998892-9998915
1476 - 2.8455286% | Entries #9998916-9998935
1477 - 2.8436017% | Entries #9998936-9998959
1478 - 2.841678% | Entries #9998960-9998993
1479 - 2.8397565% | Entries #9998994-9999022
1480 - 2.837838% | Entries #9999023-9999050
1481 - 2.8359218% | Entries #9999051-9999071
1482 - 2.834008% | Entries #9999072-9999095
1483 - 2.8320973% | Entries #9999096-9999116
1484 - 2.8301888% | Entries #9999117-9999137
1485 - 2.8282828% | Entries #9999138-9999151
1486 - 2.8263795% | Entries #9999152-9999167
1487 - 2.8244789% | Entries #9999168-9999189
1488 - 2.8225806% | Entries #9999190-9999202
1489 - 2.820685% | Entries #9999203-9999219
1490 - 2.8187919% | Entries #9999220-9999232
1491 - 2.8169014% | Entries #9999233-9999245
1492 - 2.8150134% | Entries #9999246-9999263
1493 - 2.813128% | Entries #9999264-9999277
1494 - 2.811245% | Entries #9999278-9999287
1495 - 2.8093646% | Entries #9999288-9999297
1496 - 2.8074865% | Entries #9999298-9999312
1497 - 2.8056114% | Entries #9999313-9999328
1498 - 2.803738% | Entries #9999329-9999345
1499 - 2.801868% | Entries #9999346-9999356
1500 - 2.8000002% | Entries #9999357-9999374
1501 - 2.7981346% | Entries #9999375-9999386
1502 - 2.7962716% | Entries #9999387-9999403
1503 - 2.7944112% | Entries #9999404-9999420
1504 - 2.7925532% | Entries #9999421-9999435
1505 - 2.7906976% | Entries #9999436-9999446
1506 - 2.7888446% | Entries #9999447-9999465
1507 - 2.786994% | Entries #9999466-9999478
1508 - 2.7851458% | Entries #9999479-9999486
1509 - 2.7833002% | Entries #9999487-9999497
1510 - 2.781457% | Entries #9999498-9999512
1511 - 2.779616% | Entries #9999513-9999520
1512 - 2.777778% | Entries #9999521-9999528
1513 - 2.7759418% | Entries #9999529-9999542
1514 - 2.7741084% | Entries #9999543-9999546
1515 - 2.772277% | Entries #9999547-9999552
1516 - 2.7704484% | Entries #9999553-9999562
1517 - 2.7686224% | Entries #9999563-9999573
1518 - 2.7667985% | Entries #9999574-9999583
1519 - 2.764977% | Entries #9999584-9999591
1520 - 2.7631578% | Entries #9999592-9999601
1521 - 2.7613413% | Entries #9999602-9999612
1522 - 2.759527% | Entries #9999613-9999615
1523 - 2.757715% | Entries #9999616-9999626
1524 - 2.7559054% | Entries #9999627-9999633
1525 - 2.7540984% | Entries #9999634-9999638
1526 - 2.7522936% | Entries #9999639-9999652
1527 - 2.7504911% | Entries #9999653-9999661
1528 - 2.748691% | Entries #9999662-9999672
1529 - 2.7468934% | Entries #9999673-9999683
1530 - 2.745098% | Entries #9999684-9999694
1531 - 2.743305% | Entries #9999695-9999699
1532 - 2.7415144% | Entries #9999700-9999707
1533 - 2.739726% | Entries #9999708-9999710
1534 - 2.73794% | Entries #9999711-9999712
1535 - 2.7361565% | Entries #9999713-9999716
1536 - 2.734375% | Entries #9999717-9999721
1537 - 2.732596% | Entries #9999722-9999724
1538 - 2.7308192% | Entries #9999725-9999731
1539 - 2.729045% | Entries #9999732-9999741
1540 - 2.7272727% | Entries #9999742-9999747
1541 - 2.725503% | Entries #9999748-9999753
1542 - 2.7237353% | Entries #9999754-9999760
1543 - 2.72197% | Entries #9999761-9999764
1544 - 2.7202072% | Entries #9999765-9999768
1545 - 2.7184465% | Entries #9999769-9999772
1546 - 2.7166882% | Entries #9999773-9999778
1547 - 2.7149322% | Entries #9999779-9999781
1548 - 2.7131784% | Entries #9999782-9999789
1549 - 2.7114267% | Entries #9999790-9999793
1550 - 2.7096775% | Entries #9999794-9999798
1551 - 2.7079303% | Entries #9999799-9999806
1552 - 2.7061856% | Entries #9999807-9999814
1553 - 2.704443% | Entries #9999815-9999817
1554 - 2.7027028% | Entries #9999818-9999826
1555 - 2.7009645% | Entries #9999827-9999828
1556 - 2.6992288% | Entries #9999829-9999833
1557 - 2.6974952% | Entries #9999834-9999837
1558 - 2.6957638% | Entries #9999838-9999840
1559 - 2.6940346% | Entries #9999841-9999843
1560 - 2.6923077% | Entries #9999844-9999849
1561 - 2.690583% | Entries #9999850-9999854
1562 - 2.6888604% | Entries #9999855-9999857
1563 - 2.6871402% | Entries #9999858-9999860
1564 - 2.6854222% | Entries #9999861-9999864
1565 - 2.683706% | Entries #9999865-9999868
1566 - 2.6819923% | Entries #9999869-9999872
1567 - 2.6802807% | Entries #9999873-9999874
1568 - 2.6785715% | Entries #9999875-9999876
1569 - 2.6768641% | Entry #9999877
1570 - 2.6751592% | Entries #9999878-9999880
1571 - 2.6734564% | Entries #9999881-9999882
1572 - 2.6717556% | Entries #9999883-9999884
1573 - 2.6700573% | Entry #9999885
1575 - 2.6666667% | Entries #9999886-9999891
1576 - 2.6649747% | Entries #9999892-9999893
1577 - 2.6632848% | Entries #9999894-9999897
1578 - 2.661597% | Entries #9999898-9999901
1579 - 2.6599114% | Entries #9999902-9999905
1580 - 2.658228% | Entry #9999906
1581 - 2.6565464% | Entries #9999907-9999909
1583 - 2.6531901% | Entries #9999910-9999912
1584 - 2.6515152% | Entries #9999913-9999916
1585 - 2.6498423% | Entry #9999917
1586 - 2.6481714% | Entry #9999918
1587 - 2.646503% | Entries #9999919-9999920
1588 - 2.6448364% | Entries #9999921-9999924
1589 - 2.6431718% | Entry #9999925
1590 - 2.6415095% | Entry #9999926
1591 - 2.6398492% | Entries #9999927-9999929
1593 - 2.636535% | Entry #9999930
1595 - 2.6332288% | Entries #9999931-9999932
1597 - 2.629931% | Entries #9999933-9999934
1598 - 2.6282854% | Entries #9999935-9999936
1601 - 2.6233604% | Entry #9999937
1602 - 2.6217227% | Entry #9999938
1603 - 2.6200874% | Entry #9999939
1604 - 2.6184537% | Entries #9999940-9999942
1605 - 2.6168222% | Entry #9999943
1608 - 2.6119404% | Entries #9999944-9999945
1609 - 2.610317% | Entry #9999946
1611 - 2.6070764% | Entry #9999947
1612 - 2.6054592% | Entry #9999948
1613 - 2.6038437% | Entry #9999949
1614 - 2.6022305% | Entries #9999950-9999951
1615 - 2.6006193% | Entries #9999952-9999954
1616 - 2.59901% | Entries #9999955-9999957
1617 - 2.5974026% | Entry #9999958
1618 - 2.5957973% | Entry #9999959
1619 - 2.594194% | Entries #9999960-9999963
1620 - 2.5925925% | Entry #9999964
1621 - 2.5909932% | Entry #9999965
1623 - 2.5878003% | Entry #9999966
1625 - 2.5846152% | Entry #9999967
1626 - 2.5830257% | Entry #9999968
1629 - 2.578269% | Entry #9999969
1632 - 2.5735295% | Entries #9999970-9999971
1633 - 2.5719535% | Entries #9999972-9999973
1634 - 2.5703795% | Entry #9999974
1635 - 2.5688074% | Entries #9999975-9999976
1638 - 2.5641026% | Entry #9999977
1639 - 2.5625381% | Entry #9999978
1640 - 2.5609756% | Entry #9999979
1643 - 2.5562994% | Entry #9999980
1650 - 2.5454545% | Entries #9999981-9999982
1655 - 2.5377643% | Entry #9999983
1659 - 2.5316455% | Entry #9999984
1663 - 2.5255563% | Entry #9999985
1665 - 2.5225227% | Entry #9999986
1669 - 2.516477% | Entry #9999987
1670 - 2.51497% | Entry #9999988
1672 - 2.5119617% | Entry #9999989
1676 - 2.5059667% | Entry #9999990
1682 - 2.4970272% | Entries #9999991-9999992
1693 - 2.4808033% | Entry #9999993
1696 - 2.4764152% | Entry #9999994
1700 - 2.4705882% | Entry #9999995
1710 - 2.4561403% | Entry #9999996
1716 - 2.4475524% | Entry #9999997
1728 - 2.4305556% | Entry #9999998
1744 - 2.408257% | Entry #9999999
